using device: cuda
CIFAR100 dataset loaded successfully.
the size of train set is (2500, 32, 32, 3)
the size of train label is (2500,)
the size of test set is (500, 32, 32, 3)
the size of test label is (500,)
epoch:14,step:13,loss:0.273
epoch:14,step:14,loss:0.233
epoch:14,step:15,loss:0.291
epoch:14,step:16,loss:0.245
epoch:14,step:17,loss:0.240
epoch:14,step:18,loss:0.252
epoch:14,step:19,loss:0.272
epoch:14,accuracy:68.800
epoch:15,step:0,loss:0.298
epoch:15,step:1,loss:0.289
epoch:15,step:2,loss:0.250
epoch:15,step:3,loss:0.277
epoch:15,step:4,loss:0.238
epoch:15,step:5,loss:0.247
epoch:15,step:6,loss:0.220
epoch:15,step:7,loss:0.256
epoch:15,step:8,loss:0.241
epoch:15,step:9,loss:0.229
epoch:15,step:10,loss:0.203
epoch:15,step:11,loss:0.278
epoch:15,step:12,loss:0.293
epoch:15,step:13,loss:0.323
epoch:15,step:14,loss:0.305
epoch:15,step:15,loss:0.262
epoch:15,step:16,loss:0.273
epoch:15,step:17,loss:0.353
epoch:15,step:18,loss:0.248
epoch:15,step:19,loss:0.211
epoch:15,accuracy:70.600
epoch:16,step:0,loss:0.213
epoch:16,step:1,loss:0.247
epoch:16,step:2,loss:0.276
epoch:16,step:3,loss:0.238
epoch:16,step:4,loss:0.246
epoch:16,step:5,loss:0.289
epoch:16,step:6,loss:0.250
epoch:16,step:7,loss:0.259
epoch:16,step:8,loss:0.271
epoch:16,step:9,loss:0.261
epoch:16,step:10,loss:0.258
epoch:16,step:11,loss:0.227
epoch:16,step:12,loss:0.254
epoch:16,step:13,loss:0.272
epoch:16,step:14,loss:0.246
epoch:16,step:15,loss:0.237
epoch:16,step:16,loss:0.266
epoch:16,step:17,loss:0.233
epoch:16,step:18,loss:0.225
epoch:16,step:19,loss:0.283
epoch:16,accuracy:62.600
epoch:17,step:0,loss:0.350
epoch:17,step:1,loss:0.244
epoch:17,step:2,loss:0.236
epoch:17,step:3,loss:0.273
epoch:17,step:4,loss:0.283
epoch:17,step:5,loss:0.264
epoch:17,step:6,loss:0.241
epoch:17,step:7,loss:0.183
epoch:17,step:8,loss:0.227
epoch:17,step:9,loss:0.238
epoch:17,step:10,loss:0.241
epoch:17,step:11,loss:0.227
epoch:17,step:12,loss:0.258
epoch:17,step:13,loss:0.291
epoch:17,step:14,loss:0.233
epoch:17,step:15,loss:0.261
epoch:17,step:16,loss:0.195
epoch:17,step:17,loss:0.220
epoch:17,step:18,loss:0.254
epoch:17,step:19,loss:0.261
epoch:17,accuracy:71.000
epoch:18,step:0,loss:0.288
epoch:18,step:1,loss:0.296
epoch:18,step:2,loss:0.284
epoch:18,step:3,loss:0.240
epoch:18,step:4,loss:0.249
epoch:18,step:5,loss:0.205
epoch:18,step:6,loss:0.257
epoch:18,step:7,loss:0.238
epoch:18,step:8,loss:0.303
epoch:18,step:9,loss:0.272
epoch:18,step:10,loss:0.265
epoch:18,step:11,loss:0.215
epoch:18,step:12,loss:0.266
epoch:18,step:13,loss:0.269
epoch:18,step:14,loss:0.279
epoch:18,step:15,loss:0.248
epoch:18,step:16,loss:0.231
epoch:18,step:17,loss:0.233
epoch:18,step:18,loss:0.226
epoch:18,step:19,loss:0.278
epoch:18,accuracy:71.400
epoch:19,step:0,loss:0.234
epoch:19,step:1,loss:0.215
epoch:19,step:2,loss:0.229
epoch:19,step:3,loss:0.221
epoch:19,step:4,loss:0.223
epoch:19,step:5,loss:0.264
epoch:19,step:6,loss:0.275
epoch:19,step:7,loss:0.233
epoch:19,step:8,loss:0.196
epoch:19,step:9,loss:0.238
epoch:19,step:10,loss:0.233
epoch:19,step:11,loss:0.213
epoch:19,step:12,loss:0.237
epoch:19,step:13,loss:0.226
epoch:19,step:14,loss:0.230
epoch:19,step:15,loss:0.242
epoch:19,step:16,loss:0.235
epoch:19,step:17,loss:0.261
epoch:19,step:18,loss:0.291
epoch:19,step:19,loss:0.186
epoch:19,accuracy:72.400
epoch:20,step:0,loss:0.203
epoch:20,step:1,loss:0.256
epoch:20,step:2,loss:0.208
epoch:20,step:3,loss:0.211
epoch:20,step:4,loss:0.199
epoch:20,step:5,loss:0.243
epoch:20,step:6,loss:0.272
epoch:20,step:7,loss:0.252
epoch:20,step:8,loss:0.229
epoch:20,step:9,loss:0.183
epoch:20,step:10,loss:0.201
epoch:20,step:11,loss:0.223
epoch:20,step:12,loss:0.231
epoch:20,step:13,loss:0.291
epoch:20,step:14,loss:0.264
epoch:20,step:15,loss:0.232
epoch:20,step:16,loss:0.256
epoch:20,step:17,loss:0.218
epoch:20,step:18,loss:0.272
epoch:20,step:19,loss:0.323
epoch:20,accuracy:66.600
epoch:21,step:0,loss:0.236
epoch:21,step:1,loss:0.216
epoch:21,step:2,loss:0.319
epoch:21,step:3,loss:0.345
epoch:21,step:4,loss:0.237
epoch:21,step:5,loss:0.257
epoch:21,step:6,loss:0.211
epoch:21,step:7,loss:0.218
epoch:21,step:8,loss:0.233
epoch:21,step:9,loss:0.281
epoch:21,step:10,loss:0.248
epoch:21,step:11,loss:0.247
epoch:21,step:12,loss:0.205
epoch:21,step:13,loss:0.257
epoch:21,step:14,loss:0.300
epoch:21,step:15,loss:0.263
epoch:21,step:16,loss:0.235
epoch:21,step:17,loss:0.175
epoch:21,step:18,loss:0.199
epoch:21,step:19,loss:0.263
epoch:21,accuracy:68.600
epoch:22,step:0,loss:0.208
epoch:22,step:1,loss:0.191
epoch:22,step:2,loss:0.182
epoch:22,step:3,loss:0.171
epoch:22,step:4,loss:0.239
epoch:22,step:5,loss:0.204
epoch:22,step:6,loss:0.200
epoch:22,step:7,loss:0.222
epoch:22,step:8,loss:0.212
epoch:22,step:9,loss:0.207
epoch:22,step:10,loss:0.258
epoch:22,step:11,loss:0.184
epoch:22,step:12,loss:0.265
epoch:22,step:13,loss:0.256
epoch:22,step:14,loss:0.240
epoch:22,step:15,loss:0.213
epoch:22,step:16,loss:0.297
epoch:22,step:17,loss:0.274
epoch:22,step:18,loss:0.242
epoch:22,step:19,loss:0.225
epoch:22,accuracy:73.600
epoch:23,step:0,loss:0.222
epoch:23,step:1,loss:0.221
epoch:23,step:2,loss:0.214
epoch:23,step:3,loss:0.186
epoch:23,step:4,loss:0.207
epoch:23,step:5,loss:0.224
epoch:23,step:6,loss:0.235
epoch:23,step:7,loss:0.227
epoch:23,step:8,loss:0.183
epoch:23,step:9,loss:0.202
epoch:23,step:10,loss:0.209
epoch:23,step:11,loss:0.240
epoch:23,step:12,loss:0.207
epoch:23,step:13,loss:0.208
epoch:23,step:14,loss:0.209
epoch:23,step:15,loss:0.168
epoch:23,step:16,loss:0.180
epoch:23,step:17,loss:0.251
epoch:23,step:18,loss:0.223
epoch:23,step:19,loss:0.283
epoch:23,accuracy:68.600
epoch:24,step:0,loss:0.246
epoch:24,step:1,loss:0.180
epoch:24,step:2,loss:0.198
epoch:24,step:3,loss:0.190
epoch:24,step:4,loss:0.132
epoch:24,step:5,loss:0.196
epoch:24,step:6,loss:0.194
epoch:24,step:7,loss:0.183
epoch:24,step:8,loss:0.205
epoch:24,step:9,loss:0.229
epoch:24,step:10,loss:0.228
epoch:24,step:11,loss:0.208
epoch:24,step:12,loss:0.224
epoch:24,step:13,loss:0.185
epoch:24,step:14,loss:0.249
epoch:24,step:15,loss:0.269
epoch:24,step:16,loss:0.267
epoch:24,step:17,loss:0.237
epoch:24,step:18,loss:0.248
epoch:24,step:19,loss:0.187
epoch:24,accuracy:75.200
epoch:25,step:0,loss:0.184
epoch:25,step:1,loss:0.204
epoch:25,step:2,loss:0.194
epoch:25,step:3,loss:0.222
epoch:25,step:4,loss:0.191
epoch:25,step:5,loss:0.244
epoch:25,step:6,loss:0.222
epoch:25,step:7,loss:0.183
epoch:25,step:8,loss:0.128
epoch:25,step:9,loss:0.223
epoch:25,step:10,loss:0.215
epoch:25,step:11,loss:0.253
epoch:25,step:12,loss:0.185
epoch:25,step:13,loss:0.182
epoch:25,step:14,loss:0.204
epoch:25,step:15,loss:0.209
epoch:25,step:16,loss:0.197
epoch:25,step:17,loss:0.207
epoch:25,step:18,loss:0.212
epoch:25,step:19,loss:0.219
epoch:25,accuracy:69.400
epoch:26,step:0,loss:0.259
epoch:26,step:1,loss:0.230
epoch:26,step:2,loss:0.196
epoch:26,step:3,loss:0.204
epoch:26,step:4,loss:0.182
epoch:26,step:5,loss:0.157
epoch:26,step:6,loss:0.181
epoch:26,step:7,loss:0.181
epoch:26,step:8,loss:0.227
epoch:26,step:9,loss:0.169
epoch:26,step:10,loss:0.218
epoch:26,step:11,loss:0.264
epoch:26,step:12,loss:0.238
epoch:26,step:13,loss:0.217
epoch:26,step:14,loss:0.196
epoch:26,step:15,loss:0.198
epoch:26,step:16,loss:0.205
epoch:26,step:17,loss:0.167
epoch:26,step:18,loss:0.181
